,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_and_artist
9649,sunday morning,The Velvet Underground,11607FzqoipskTsXrwEHnJ,0.506,0.442,5,-13.267999999999999,0,0.0276,0.0869,0.0023899999999999998,0.0846,0.532,105.82600000000001,175893,Sunday Morning - The Velvet Underground
9650,i was all over her,salvia palth,7svpAkwc6xaSxlbZ7V7JiS,0.529,0.353,7,-12.835,1,0.0292,0.7879999999999999,0.853,0.11599999999999999,0.0601,104.557,161463,i was all over her - salvia palth
9651,pull up,Luh Kel,2enuUNOuQe22b6LB31bimX,0.8029999999999999,0.569,1,-6.3660000000000005,1,0.0705,0.0957,0.0,0.0976,0.26,95.009,123400,Pull Up - Luh Kel
9652,brothers (feat. luh kel),Bankrol Hayden,49O5AqdaIGmnfz2d8TXL7Z,0.889,0.483,8,-10.332,1,0.22699999999999998,0.376,0.0,0.08800000000000001,0.7609999999999999,120.995,131853,Brothers (feat. Luh Kel) - Bankrol Hayden
9653,swim,Chase Atlantic,3M0lSi5WW79CXQamgSBIjx,0.6659999999999999,0.542,8,-6.428999999999999,1,0.0392,0.27,0.0,0.0765,0.0771,120.134,228787,Swim - Chase Atlantic
9654,friends,Chase Atlantic,2jQiSYrwJehQAcuaaQrXnS,0.42200000000000004,0.609,11,-6.361000000000001,0,0.0335,0.0114,4.76e-06,0.10800000000000001,0.0911,107.34,230011,Friends - Chase Atlantic
9655,into it,Chase Atlantic,4HwDCXsMBC7SUdp2WT4MZP,0.518,0.5720000000000001,10,-6.706,0,0.0416,0.0503,2.4100000000000003e-05,0.129,0.29100000000000004,130.053,196767,Into It - Chase Atlantic
9656,slow down,Chase Atlantic,5lT5IZWW3JQErXELJpQgJ9,0.47700000000000004,0.7879999999999999,10,-4.46,1,0.0362,0.0183,1.78e-06,0.294,0.255,129.967,212093,Slow Down - Chase Atlantic
9657,lovers rock,TV Girl,6dBUzqjtbnIa1TwYbyw5CM,0.5589999999999999,0.871,5,-5.337999999999999,0,0.0397,7.53e-06,0.00545,0.096,0.5720000000000001,104.97,213920,Lovers Rock - TV Girl
9658,not allowed,TV Girl,3IznIgmXtrUaoPWpQTy5jB,0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,167864,Not Allowed - TV Girl
9659,cigarettes out the window,TV Girl,6QeYSvYqYUsfBzsApbjDHO,0.625,0.659,0,-5.669,1,0.0337,0.12,0.0,0.17,0.594,113.551,198961,Cigarettes out the Window - TV Girl
9660,she knows (feat. amber coffman & cults),J. Cole,0Fs9cdPDhptWEDJmiCbkEW,0.7659999999999999,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.22899999999999998,0.183,118.008,296520,She Knows (feat. Amber Coffman & Cults) - J. Cole
9661,always forever,Cults,2enPRFda84VE2wtI8c86Uf,0.174,0.742,8,-5.93,1,0.0485,0.0018100000000000002,0.281,0.198,0.36,163.378,223747,Always Forever - Cults
9662,black out days,Phantogram,6xWIuPEnPIODp4dCRsAd5I,0.542,0.795,4,-3.63,0,0.0368,0.00506,0.019,0.0851,0.431,92.234,227160,Black Out Days - Phantogram
9663,black out days - future islands remix,Phantogram,3kxkjirben9RVm9NqYa6rm,0.47700000000000004,0.483,4,-9.413,0,0.0364,0.0027,0.7829999999999999,0.156,0.12300000000000001,170.02599999999998,248347,Black Out Days - Future Islands Remix - Phantogram
9664,when i'm small,Phantogram,21nf6u3sQbfViHX7wNZmhK,0.6459999999999999,0.758,10,-4.34,1,0.0314,0.191,0.09699999999999999,0.10300000000000001,0.424,91.99799999999999,249067,When I'm Small - Phantogram
9665,the passenger,Iggy Pop,15BQ7vEDv2LJuh8TxWIhtd,0.498,0.889,0,-5.412999999999999,1,0.0546,0.0947,1.62e-06,0.733,0.696,134.88,283360,The Passenger - Iggy Pop
9666,lust for life,Iggy Pop,21YxK0klhpfLW8budkJaMF,0.38299999999999995,0.97,9,-5.638,1,0.0435,0.0276,0.0,0.0942,0.62,101.603,313926,Lust For Life - Iggy Pop
9667,ykwim?,Yot Club,2vWBUC9djv6BtiGlmKiQaH,0.37200000000000005,0.537,9,-7.622999999999999,1,0.0305,0.937,0.873,0.287,0.228,123.735,212750,YKWIM? - Yot Club
9668,glock in my lap,21 Savage,6pcywuOeGGWeOQzdUyti6k,0.847,0.733,10,-6.439,0,0.16,0.0057399999999999994,1.04e-05,0.151,0.20199999999999999,130.029,193591,Glock In My Lap - 21 Savage
9669,"crazy story, pt. 3",King Von,23TwR29GSeJBfXnXhmDlwR,0.7290000000000001,0.73,11,-5.14,0,0.261,0.00165,4.33e-05,0.11800000000000001,0.41,156.953,191399,"Crazy Story, Pt. 3 - King Von"
9670,still trappin',Lil Durk,1lw4FrPr3Y8R7Q1Mro2TMe,0.877,0.679,5,-4.968999999999999,0,0.355,0.0458,0.0,0.0987,0.624,144.93,172185,Still Trappin' - Lil Durk
9671,crazy story,King Von,1BNvadXnbiSf3ZofMMdDYK,0.83,0.504,11,-8.92,1,0.452,0.013999999999999999,2.7399999999999995e-05,0.11,0.15,157.004,146773,Crazy Story - King Von
9672,less than zero,The Weeknd,2D4dV2KXDTszzJ3p3cFqhA,0.535,0.7909999999999999,0,-5.55,1,0.0327,0.0009599999999999999,0.000155,0.0788,0.5,142.981,211814,Less Than Zero - The Weeknd
9673,new flesh,Current Joys,6HJxxqHWMdidwTVZmZWeHU,0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,167987,New Flesh - Current Joys
9674,kids,Current Joys,3pyyGVqWvRMq43qtJBzxe0,0.828,0.66,6,-9.669,1,0.0337,0.508,0.40299999999999997,0.0755,0.904,113.45,269143,Kids - Current Joys
9675,in my head,Bedroom,5vwXQUwkpmnkJrfv69L6Mp,0.5760000000000001,0.608,9,-13.537,1,0.0321,0.16899999999999998,0.9159999999999999,0.106,0.18,150.9,354692,In My Head - Bedroom
9676,pink venom,BLACKPINK,6stcJnJHPO8RrYx5LLz5OP,0.688,0.741,4,-6.22,1,0.145,0.017,0.0,0.217,0.7090000000000001,180.169,186964,Pink Venom - BLACKPINK
9677,shut down,BLACKPINK,0ARKW62l9uWIDYMZTUmJHF,0.82,0.6859999999999999,0,-5.102,1,0.038,0.00412,0.0,0.184,0.6679999999999999,110.05799999999999,175889,Shut Down - BLACKPINK
9678,typa girl,BLACKPINK,0L8LOav65XwLjCLS11gNPD,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,179173,Typa Girl - BLACKPINK
9679,hidden in the sand,Tally Hall,0RjG5JmdOWXAR68dGlKBA5,0.547,0.287,6,-12.28,1,0.149,0.514,0.774,0.11900000000000001,0.177,120.792,112960,Hidden In the Sand - Tally Hall
9680,the bidding,Tally Hall,0HBrtXJohbIW4IhPZ50GmH,0.5379999999999999,0.607,9,-5.261,0,0.21600000000000003,0.248,5.54e-06,0.0999,0.515,175.424,160613,The Bidding - Tally Hall
9681,we fell in love in october,girl in red,6IPwKM3fUUzlElbvKw2sKl,0.5660000000000001,0.366,7,-12.808,1,0.027999999999999997,0.113,0.18100000000000002,0.155,0.237,129.96,184154,we fell in love in october - girl in red
9682,i wanna be your girlfriend,girl in red,5PjdC2gMATetx5xdnwGUu7,0.541,0.382,7,-14.323,1,0.035,0.0215,0.0008359999999999999,0.304,0.34299999999999997,155.901,204991,i wanna be your girlfriend - girl in red
9683,october passed me by,girl in red,0AjcdGri5vhJsmZnduCEqd,0.445,0.36700000000000005,0,-13.085999999999999,1,0.0452,0.7609999999999999,0.075,0.0987,0.20199999999999999,155.675,165592,October Passed Me By - girl in red
